,train_loss,train_mape,train_rmse,valid_loss,valid_mape,valid_rmse
0,3.75398,0.104894,7.276324,3.297455,0.091508,6.232497
1,3.457754,0.096635,6.837775,3.211183,0.094221,5.93403
2,3.344054,0.09267,6.638744,3.351331,0.103762,6.354558
3,3.261842,0.090219,6.486736,3.203896,0.097789,6.104798
4,3.196721,0.088049,6.35614,3.177805,0.086504,5.845928
5,3.135069,0.085959,6.25658,2.942433,0.082008,5.562524
6,3.10903,0.085056,6.195442,2.90618,0.079449,5.526219
7,3.066991,0.083762,6.128657,2.960274,0.078986,5.56151
8,3.039121,0.082715,6.070214,2.846087,0.076793,5.453865
9,3.016761,0.081992,6.03468,2.863778,0.079311,5.536302
10,2.99727,0.081367,5.99854,2.914286,0.081202,5.649208
11,2.978812,0.080799,5.966155,2.845583,0.082227,5.482407
12,2.958924,0.079949,5.92234,2.842836,0.077193,5.386906
13,2.949942,0.079768,5.904834,2.848411,0.075746,5.46425
14,2.93251,0.079194,5.875729,2.833816,0.080437,5.422028
15,2.924518,0.078892,5.860147,2.79464,0.077455,5.399117
16,2.915308,0.07858,5.839505,2.821198,0.080785,5.426978
17,2.903538,0.078255,5.822458,2.78729,0.076145,5.40064
18,2.892893,0.07784,5.802007,2.837152,0.075709,5.453013
19,2.883642,0.077471,5.775962,2.785542,0.079703,5.445508
20,2.873264,0.077218,5.760822,2.817088,0.077864,5.427059
21,2.86728,0.076987,5.74783,2.814758,0.075367,5.409484
22,2.861866,0.07678,5.730405,2.771908,0.074414,5.359841
23,2.853493,0.076487,5.717124,2.807074,0.076092,5.435401
24,2.849519,0.076345,5.706686,2.804953,0.077885,5.483656
25,2.83945,0.076008,5.687158,2.754411,0.074549,5.317734
26,2.835799,0.075852,5.684753,2.818575,0.07697,5.464544
27,2.828697,0.075675,5.665483,2.769124,0.075974,5.3949
28,2.82924,0.07572,5.662074,2.77882,0.077454,5.375808
29,2.820922,0.075359,5.646905,2.752813,0.076591,5.372274
30,2.817167,0.075321,5.638689,2.768864,0.076888,5.399521
31,2.810194,0.074965,5.623412,2.776304,0.074971,5.418464
32,2.807017,0.074863,5.614676,2.782002,0.077748,5.414358
33,2.803834,0.074784,5.609684,2.788142,0.077407,5.47443
34,2.799077,0.074611,5.598732,2.806493,0.079531,5.491334
35,2.793973,0.074438,5.588209,2.773474,0.077952,5.405509
36,2.788133,0.074213,5.575964,2.782272,0.078276,5.398335
37,2.783632,0.074101,5.570968,2.752019,0.074725,5.348026
38,2.783659,0.074124,5.567719,2.738701,0.075658,5.340927
39,2.77968,0.073946,5.555832,2.768124,0.07608,5.428067
40,2.775038,0.073787,5.547348,2.751677,0.076121,5.369796
41,2.772682,0.073708,5.542463,2.785129,0.079605,5.466246
42,2.770169,0.073636,5.536231,2.752559,0.075432,5.400868
43,2.766596,0.073476,5.527597,2.766615,0.075143,5.414089
44,2.763155,0.073402,5.520823,2.782222,0.077731,5.433979
45,2.761538,0.073329,5.514541,2.776307,0.076487,5.431282
46,2.756936,0.073207,5.507288,2.756372,0.074778,5.396347
47,2.756548,0.073148,5.505337,2.761746,0.075203,5.365396
48,2.750811,0.072936,5.490173,2.779873,0.077845,5.425304
49,2.75033,0.072942,5.490199,2.755045,0.074822,5.375649
50,2.748052,0.072877,5.486991,2.765208,0.076976,5.391188
51,2.743281,0.072689,5.475692,2.754613,0.074548,5.368725
52,2.741636,0.072622,5.470229,2.75773,0.076564,5.394949
53,2.741783,0.072645,5.470579,2.745776,0.076261,5.380306
54,2.739094,0.072561,5.464901,2.75364,0.076319,5.372107
55,2.736017,0.072452,5.454876,2.752113,0.073517,5.372505
56,2.734679,0.072411,5.453229,2.783888,0.078044,5.470916
57,2.734146,0.072388,5.45384,2.740071,0.075422,5.376976
58,2.731136,0.072252,5.447694,2.747621,0.075054,5.359014
